Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
347,66208C16,,1,0,1,1,0,1,0,0,0,0,0.002777
348,79F03B15,,0,1,1,0,1,1,1,1,1,0,0
349,7DEEFE7C,,25,4,29,25,4,29,2,0.611111,0.681818,1579.97619,0.214745
350,2FF60008,,1,1,2,1,1,2,7,0.253472,0.277299,0,0.002777
351,8350D077,,0,1,1,0,1,1,2,0.666667,0.75,0,0
352,7C065B03,,0,2,2,0,2,2,5,0.368421,0.425,0,0
353,56D4093F,,1,0,1,1,0,1,0,0,0,0,0.061118
354,7B446227,,0,7,7,0,7,7,3,0.6,0.711111,0,0
355,77424DF6,,0,11,11,0,11,11,6,0.328736,0.398834,0,0
356,7595AFE1,,1,1,2,1,1,2,1,1,1,1,0.002777
357,7A0B9BD1,,0,2,2,0,2,2,4,0.411765,0.547619,0,0
358,0BB9ABB4,,1,0,1,1,0,1,0,0,0,0,0.002777
359,78B3A1C0,,7,0,7,7,0,7,0,0,0,0,0.154297
360,79E2B75F,,0,2,2,0,2,2,1,1,1,0,0
361,079C8E7C,,0,4,4,0,4,4,3,0.571429,0.652778,0,0
362,7DD25105,,5,0,5,5,0,5,0,0,0,0,0.015133
363,8032A92A,,0,3,3,0,3,3,2,0.8,0.875,0,0
364,7C039EC8,,1,0,1,1,0,1,0,0,0,0,0.002777
365,5C6B946F,,0,2,2,0,2,2,2,0.75,0.833333,0,0
366,77BA6E7B,,0,3,3,0,3,3,1,1,1,0,0
367,7E9B866C,,0,1,1,0,1,1,4,0.375,0.472222,0,0
368,7B229100,,1,0,1,1,0,1,0,0,0,0,0.002777
369,0B81702B,,0,1,1,0,1,1,7,0.217469,0.235968,0,0
370,7EFEDCA2,,0,2,2,0,2,2,2,0.666667,0.75,0,0
371,81685D9B,,5,5,10,5,5,10,4,0.5,0.666667,31.666667,0.015133
372,7F626239,,0,2,2,0,2,2,2,0.75,0.833333,0,0
373,71451F20,,1,0,1,1,0,1,0,0,0,0,0.002777
374,786DF1BE,,0,2,2,0,2,2,5,0.329545,0.395402,0,0
375,606A459B,,1,0,1,1,0,1,0,0,0,0,0.008578
376,80D1B10B,,0,1,1,0,1,1,2,0.666667,0.75,0,0
377,80D8B744,,1,0,1,1,0,1,0,0,0,0,0.002777
378,7DF05074,,0,4,4,0,4,4,4,0.466667,0.577381,0,0
379,7A4D9F76,,1,5,6,1,5,6,6,0.313084,0.367289,41.759171,0.005274
380,7DB25752,,1,9,10,1,9,10,6,0.338889,0.40888,133.5,0.004025
381,7EA146EA,,0,2,2,0,2,2,1,1,1,0,0
382,7BDBA87D,,1,0,1,1,0,1,0,0,0,0,0.002777
383,7F169439,,1,0,1,1,0,1,0,0,0,0,0.004025
384,770B3AAA,,1,0,1,1,0,1,0,0,0,0,0.002777
385,815CE8D2,,0,5,5,0,5,5,4,0.486486,0.587963,0,0
386,7F3D8653,,0,2,2,0,2,2,2,0.75,0.833333,0,0
387,59EA189E,,0,4,4,0,4,4,2,0.833333,0.9,0,0
388,799FBA40,,0,1,1,0,1,1,4,0.4,0.520833,0,0
389,11D16AAE,,0,2,2,0,2,2,4,0.4375,0.511905,0,0
390,7BDE06A5,,0,2,2,0,2,2,6,0.326829,0.364428,0,0
391,81642FAE,,2,2,4,2,2,4,7,0.238748,0.265125,180,0.009854
392,7D223AEA,,0,2,2,0,2,2,1,1,1,0,0
393,7FF6439B,,2,0,2,2,0,2,0,0,0,0,0.012073
394,5CD8FBDB,,0,1,1,0,1,1,2,0.666667,0.75,0,0
395,633427B8,,1,0,1,1,0,1,0,0,0,0,0.002777
396,5A260464,,8,0,8,8,0,8,0,0,0,0,0.139353
397,7F82C0EB,,1,0,1,1,0,1,0,0,0,0,0.002777
398,115DBE0D,,5,0,5,5,0,5,0,0,0,0,0.013885
399,80F4C766,,1,0,1,1,0,1,0,0,0,0,0.002777
400,6103D4A2,,0,1,1,0,1,1,1,1,1,0,0
401,7FFC51D3,,0,1,1,0,1,1,1,1,1,0,0
402,7963E765,,0,1,1,0,1,1,1,1,1,0,0
403,78C91A04,,0,3,3,0,3,3,7,0.220249,0.248291,0,0
404,77CC9AA2,,0,2,2,0,2,2,2,0.75,0.833333,0,0
405,7F0FE0FA,,0,1,1,0,1,1,1,1,1,0,0
406,801A0D49,,2,10,12,2,10,12,6,0.328467,0.399012,93.238095,0.005554
407,7A76639A,,0,4,4,0,4,4,3,0.555556,0.666667,0,0
408,6BE8E204,,1,0,1,1,0,1,0,0,0,0,0.061861
409,77B72BF5,,0,1,1,0,1,1,1,1,1,0,0
410,5D73ADEF,,1,0,1,1,0,1,0,0,0,0,0.002777
411,7C48AB23,,0,4,4,0,4,4,6,0.313984,0.366527,0,0
412,7C46211B,,1,4,5,1,4,5,5,0.345238,0.434483,11.5,0.002777
413,7ACA01E5,,2,2,4,2,2,4,1,1,1,4,0.008328
414,8178E1C7,,0,1,1,0,1,1,6,0.238411,0.270833,0,0
415,7EFC1AD9,,0,3,3,0,3,3,2,0.8,0.875,0,0
416,812A08E7,,1,0,1,1,0,1,0,0,0,0,0.002777
417,7B2576E5,,2,0,2,2,0,2,0,0,0,0,0.005554
418,5CD5757B,,0,1,1,0,1,1,5,0.270833,0.328205,0,0
419,7CA11A71,,0,1,1,0,1,1,1,1,1,0,0
420,809DD726,,2,0,2,2,0,2,0,0,0,0,0.005554
421,76255E3F,,0,2,2,0,2,2,5,0.37931,0.498485,0,0
422,7D25CCCF,,2,1,3,2,1,3,5,0.322034,0.357018,0,0.005554
423,7F494A01,,1,0,1,1,0,1,0,0,0,0,0.002777
424,767DDBEC,,3,1,4,3,1,4,1,1,1,3,0.008331
425,808A2CA5,,0,1,1,0,1,1,6,0.306701,0.345518,0,0
426,7A58DBCC,,1,0,1,1,0,1,0,0,0,0,0.002777
427,80CD6DE1,,0,3,3,0,3,3,2,0.714286,0.8,0,0
428,7718C42C,,0,5,5,0,5,5,7,0.283688,0.337619,0,0
429,7CEA27DF,,0,1,1,0,1,1,1,1,1,0,0
430,45B6587F,,0,2,2,0,2,2,2,0.583333,0.642857,0,0
431,76A88B56,,1,6,7,1,6,7,7,0.299578,0.367036,12.22619,0.002777
432,794D58E5,,2,0,2,2,0,2,0,0,0,0,0.005554
433,7D99A95E,,0,2,2,0,2,2,5,0.354167,0.440196,0,0
434,7D08022F,,1,0,1,1,0,1,0,0,0,0,0.002777
435,7C058AF2,,1,0,1,1,0,1,0,0,0,0,0.002777
436,797F9A4E,,1,0,1,1,0,1,0,0,0,0,0.002777
437,5EB31902,,5,0,5,5,0,5,0,0,0,0,0.077273
438,5C3C2022,,0,2,2,0,2,2,3,0.5,0.611111,0,0
439,790E9191,,0,1,1,0,1,1,1,1,1,0,0
440,6CD47B26,,0,1,1,0,1,1,1,1,1,0,0
441,5C5F8BEA,,1,1,2,1,1,2,2,0.555556,0.6,4,0.002777
442,813C56EE,,0,4,4,0,4,4,4,0.37037,0.479167,0,0
443,7F3BEB40,,0,1,1,0,1,1,1,1,1,0,0
444,75332ADF,,0,1,1,0,1,1,2,0.666667,0.75,0,0
445,80307F04,,0,1,1,0,1,1,1,1,1,0,0
446,7E7863A3,,1,4,5,1,4,5,3,0.5,0.588889,1.5,0.002777
447,7F4655B4,,1,1,2,1,1,2,8,0.194006,0.210927,0,0.005274
448,809FD34A,,0,7,7,0,7,7,7,0.253833,0.305066,0,0
449,760FA684,,0,1,1,0,1,1,2,0.666667,0.75,0,0
450,7D23BB48,,0,2,2,0,2,2,1,1,1,0,0
451,7D6F6F96,,0,5,5,0,5,5,9,0.2,0.297477,0,0
452,7BCA991F,,1,0,1,1,0,1,0,0,0,0,0.002777
453,77471B51,,0,7,7,0,7,7,6,0.286517,0.333878,0,0
454,85F7E8CB,,0,3,3,0,3,3,4,0.434783,0.504167,0,0
455,79582BA3,,1,0,1,1,0,1,0,0,0,0,0.002777
456,78B4ACF8,,0,2,2,0,2,2,1,1,1,0,0
457,5CAB1DCB,,1,1,2,1,1,2,7,0.219298,0.259429,0,0.002777
458,7F3655D3,,3,1,4,3,1,4,1,1,1,13,0.057249
459,78C144D3,,2,4,6,2,4,6,3,0.6,0.703704,4.166667,0.005554
460,625783CE,,0,7,7,0,7,7,6,0.327549,0.38223,0,0
461,010F4D91,,1,0,1,1,0,1,0,0,0,0,0.002777
462,80F77418,,0,2,2,0,2,2,9,0.193309,0.255121,0,0
463,781C61C3,,0,1,1,0,1,1,2,0.6,0.666667,0,0
464,7CFF2E7B,,0,6,6,0,6,6,4,0.354545,0.435897,0,0
465,7EEA87CD,,0,1,1,0,1,1,1,1,1,0,0
466,789982C7,,1,0,1,1,0,1,0,0,0,0,0.002777
467,77EDB8FC,,0,1,1,0,1,1,5,0.318182,0.37381,0,0
468,81F715B6,,0,1,1,0,1,1,2,0.666667,0.75,0,0
469,77EE386A,,0,3,3,0,3,3,4,0.344828,0.429167,0,0
470,7E9AB5F8,,1,2,3,1,2,3,5,0.298969,0.355172,19.333333,0.002777
471,7F90ED05,,2,1,3,2,1,3,1,1,1,1,0.006802
472,785E5C6D,,2,0,2,2,0,2,0,0,0,0,0.005554
473,7FEBB751,,0,2,2,0,2,2,5,0.369863,0.431481,0,0
474,7DA3EF79,,1,2,3,1,2,3,1,1,1,2,0.002777
475,04ADFECC,,4,0,4,4,0,4,0,0,0,0,0.20148
476,785DF2F1,,1,0,1,1,0,1,0,0,0,0,0.002777
477,7A677D60,,0,1,1,0,1,1,1,1,1,0,0
478,7E46454B,,0,3,3,0,3,3,5,0.333333,0.389167,0,0
479,81457425,,0,1,1,0,1,1,5,0.346154,0.442593,0,0
480,6333855D,,1,0,1,1,0,1,0,0,0,0,0.002777
481,5E74E268,,0,5,5,0,5,5,3,0.578947,0.69697,0,0
482,80153F52,,1,0,1,1,0,1,0,0,0,0,0.002777
483,7AC4D4F1,,0,1,1,0,1,1,1,1,1,0,0
484,7760660C,,4,2,6,4,2,6,2,0.75,0.833333,47.25,0.029721
485,7F5765C8,,0,1,1,0,1,1,7,0.219298,0.259429,0,0
486,7D989507,,1,2,3,1,2,3,3,0.470588,0.520833,6.425,0.002777
487,80F25241,,17,5,22,17,5,22,8,0.230415,0.326619,995.529853,0.246281
488,806EA2EA,,0,1,1,0,1,1,1,1,1,0,0
489,7DEEAFC2,,0,4,4,0,4,4,3,0.461538,0.546296,0,0
490,58D519B1,,2,0,2,2,0,2,0,0,0,0,0.114355
491,7DB3C7D4,,0,4,4,0,4,4,3,0.5625,0.685185,0,0
492,687451DB,,0,1,1,0,1,1,1,1,1,0,0
493,79628E97,,6,0,6,6,0,6,0,0,0,0,0.01791
494,7BE97710,,2,0,2,2,0,2,0,0,0,0,0.006802
495,583BC29D,,2,0,2,2,0,2,0,0,0,0,0.009621
496,78741161,,1,2,3,1,2,3,1,1,1,0,0.005274
497,008901FD,,3,3,6,3,3,6,3,0.538462,0.666667,282.975,0.156374
498,5F7C319B,,2,1,3,2,1,3,1,1,1,28,0.021513
499,63E7C4CF,,0,4,4,0,4,4,4,0.408602,0.464912,0,0
500,81638BA7,,0,2,2,0,2,2,4,0.444444,0.510417,0,0
501,76C8B648,,6,1,7,6,1,7,1,1,1,10,0.02988
502,81ABF08E,,0,1,1,0,1,1,6,0.27907,0.330556,0,0
503,73546FB8,,0,1,1,0,1,1,2,0.666667,0.75,0,0
504,7F3AF49F,,0,3,3,0,3,3,7,0.257951,0.296706,0,0
505,7D96345C,,0,2,2,0,2,2,4,0.384615,0.427778,0,0
506,80FC8DF3,,1,1,2,1,1,2,3,0.428571,0.5,6,0.002777
507,68F5D4A4,,3,0,3,3,0,3,0,0,0,0,0.010828
508,5997F202,,0,2,2,0,2,2,5,0.354839,0.468182,0,0
509,5F33AB5D,,2,0,2,2,0,2,0,0,0,0,0.016385
510,8136678C,,42,0,42,42,0,42,0,0,0,0,0.141778
511,7F638555,,0,1,1,0,1,1,1,1,1,0,0
512,7AF9CF89,,0,2,2,0,2,2,6,0.278351,0.337037,0,0
513,065B3209,,1,0,1,1,0,1,0,0,0,0,0.002777
514,7C34142E,,0,1,1,0,1,1,1,1,1,0,0
515,7D4A2E90,,3,0,3,3,0,3,0,0,0,0,0.107089
516,7C90FAB7,,0,1,1,0,1,1,3,0.444444,0.541667,0,0
517,7D40603B,,1,0,1,1,0,1,0,0,0,0,0.005274
518,77AC6920,,0,1,1,0,1,1,1,1,1,0,0
519,786633EB,,48,2,50,48,2,50,1,1,1,1080.416667,0.436495
520,5878D767,,2,5,7,2,5,7,5,0.428571,0.623611,14.5,0.005554
521,7E59CAD1,,0,4,4,0,4,4,3,0.529412,0.666667,0,0
522,6360DE20,,0,5,5,0,5,5,6,0.319502,0.375325,0,0
523,79488D4F,,4,1,5,4,1,5,1,1,1,0,0.030812
524,06512BE8,,13,0,13,13,0,13,0,0,0,0,0.055823
525,80D84B97,,0,2,2,0,2,2,1,1,1,0,0
526,5A0EE170,,1,10,11,1,10,11,7,0.280763,0.344195,108.5,0.002777
527,7FE9216F,,0,5,5,0,5,5,6,0.314815,0.397386,0,0
528,7C392C71,,2,8,10,2,8,10,5,0.367647,0.456333,96,0.005554
529,75C47612,,1,1,2,1,1,2,5,0.257576,0.307843,0,0.002777
530,642B685A,,0,2,2,0,2,2,5,0.285714,0.37619,0,0
531,811C1D22,,8,8,16,8,8,16,3,0.666667,0.805556,96,0.023464
532,782C98B8,,0,2,2,0,2,2,1,1,1,0,0
533,7E429478,,0,2,2,0,2,2,1,1,1,0,0
534,7FBE0023,,7,5,12,7,5,12,4,0.5,0.630952,64.059524,0.020687
535,7ED8672A,,2,0,2,2,0,2,0,0,0,0,0.006802
536,7A7E8375,,0,2,2,0,2,2,8,0.217593,0.274063,0,0
537,81709A94,,1,0,1,1,0,1,0,0,0,0,0.002777
538,8148E9AC,,2,2,4,2,2,4,5,0.304348,0.351905,70,0.005554
539,7AD67A29,,0,2,2,0,2,2,7,0.255245,0.286432,0,0
540,7DF7F22C,,4,2,6,4,2,6,2,0.666667,0.75,34.833333,0.018737
541,77757110,,0,4,4,0,4,4,7,0.226103,0.260608,0,0
542,80D20076,,14,1,15,14,1,15,7,0.248705,0.284772,918.766667,0.260326
543,1271DBC1,,1,2,3,1,2,3,5,0.340426,0.420833,0,0.002777
544,5D554579,,1,0,1,1,0,1,0,0,0,0,0.002777
545,7ED00217,,3,1,4,3,1,4,1,1,1,3,0.008331
546,8105168F,,0,1,1,0,1,1,1,1,1,0,0
547,804270A7,,0,2,2,0,2,2,1,1,1,0,0
548,79AED70A,,0,1,1,0,1,1,1,1,1,0,0
549,7F7B85BF,,0,1,1,0,1,1,1,1,1,0,0
550,7715C76C,,0,1,1,0,1,1,1,1,1,0,0
551,7FC60B0B,,1,0,1,1,0,1,0,0,0,0,0.00458
552,02AEAA73,,7,0,7,7,0,7,0,0,0,0,0.02568
553,7F5D0110,,1,1,2,1,1,2,3,0.5,0.566667,0,0.002777
554,81550025,,1,2,3,1,2,3,1,1,1,1,0.002777
555,7DFF795B,,5,5,10,5,5,10,1,1,1,54,0.022485
556,7CEF18CC,,12,10,22,12,10,22,3,0.583333,0.666667,957.7,0.073245
557,603B4AD8,,0,1,1,0,1,1,1,1,1,0,0
558,79054B92,,0,1,1,0,1,1,3,0.5,0.566667,0,0
559,80493291,,7,4,11,7,4,11,4,0.47619,0.633333,32.309524,0.032383
560,5F18E556,,0,3,3,0,3,3,2,0.666667,0.75,0,0
561,798A4919,,0,1,1,0,1,1,3,0.5,0.566667,0,0
562,79F1DD1C,,1,1,2,1,1,2,1,1,1,0,0.002777
563,78DAD613,,2,0,2,2,0,2,0,0,0,0,0.006802
564,7E7423AA,,1,1,2,1,1,2,1,1,1,5.5,0.007632
565,078E0063,,1,0,1,1,0,1,0,0,0,0,0.002777
566,79E63BC7,,1,0,1,1,0,1,0,0,0,0,0.002777
567,075C496B,,0,1,1,0,1,1,1,1,1,0,0
568,7F3164EC,,0,3,3,0,3,3,2,0.8,0.875,0,0
569,58C83A98,,1,0,1,1,0,1,0,0,0,0,0.002777
570,7E097835,,0,1,1,0,1,1,1,1,1,0,0
571,7E562B49,,0,1,1,0,1,1,1,1,1,0,0
572,5B8131EB,,2,0,2,2,0,2,0,0,0,0,0.006802
573,78812650,,0,1,1,0,1,1,1,1,1,0,0
574,8154CAB8,,0,1,1,0,1,1,1,1,1,0,0
575,76A56D67,,1,0,1,1,0,1,0,0,0,0,0.002777
576,5BBBAF58,,0,1,1,0,1,1,1,1,1,0,0
577,7B4A83CC,,1,0,1,1,0,1,0,0,0,0,0.002777
578,80655C8D,,2,2,4,2,2,4,1,1,1,1.5,0.006802
579,7F36C997,,2,0,2,2,0,2,0,0,0,0,0.006802
580,7EC35CB6,,1,0,1,1,0,1,0,0,0,0,0.002777
581,5D7D9EF4,,2,7,9,2,7,9,3,0.52381,0.621212,28.166667,0.006802
582,7E70E8F2,,1,1,2,1,1,2,4,0.375,0.472222,2.333333,0.002777
583,7EEFC792,,0,2,2,0,2,2,4,0.4,0.555556,0,0
584,6EEC7B47,,17,1,18,17,1,18,1,1,1,142.483333,0.211615
585,7547B23B,,1,0,1,1,0,1,0,0,0,0,0.002777
586,7F37D0A4,,1,2,3,1,2,3,5,0.318182,0.379762,2,0.004025
587,7E619677,,2,12,14,2,12,14,4,0.427746,0.506757,139.666667,0.005554
588,7BCFF3DC,,1,0,1,1,0,1,0,0,0,0,0.002777
589,76141E4C,,0,4,4,0,4,4,6,0.284133,0.336147,0,0
590,78A137E5,,0,1,1,0,1,1,1,1,1,0,0
591,7DA55369,,2,1,3,2,1,3,2,0.571429,0.625,6.833333,0.005554
592,5A23EA84,,1,0,1,1,0,1,0,0,0,0,0.002777
593,7F6DA698,,10,4,14,10,4,14,5,0.361111,0.417308,645.65,0.036785
594,80B7396A,,0,1,1,0,1,1,1,1,1,0,0
595,7F1FED33,,0,4,4,0,4,4,1,1,1,0,0
596,7DF5F0D9,,0,4,4,0,4,4,7,0.253394,0.32432,0,0
597,81081502,,0,2,2,0,2,2,2,0.625,0.7,0,0
598,80D5C8C2,,1,0,1,1,0,1,0,0,0,0,0.002777
599,7FA58FC0,,0,2,2,0,2,2,2,0.75,0.833333,0,0
600,815FD77A,,2,3,5,2,3,5,3,0.529412,0.62963,10.75,0.005554
601,7EA6AC6C,,1,2,3,1,2,3,1,1,1,1,0.002777
602,77B46927,,2,0,2,2,0,2,0,0,0,0,0.013958
603,8038EF0E,,7,4,11,7,4,11,2,0.75,0.833333,50,0.021935
604,7D38882D,,5,0,5,5,0,5,0,0,0,0,0.022762
605,5928E982,,1,0,1,1,0,1,0,0,0,0,0.002777
606,7C45FCBC,,2,1,3,2,1,3,1,1,1,2,0.005554
607,04180E78,,0,1,1,0,1,1,7,0.252874,0.303084,0,0
608,80FC6820,,0,2,2,0,2,2,5,0.324786,0.370175,0,0
609,7E3531EC,,0,2,2,0,2,2,6,0.27907,0.391667,0,0
610,5AF0A47F,,0,1,1,0,1,1,1,1,1,0,0
611,816EB681,,0,3,3,0,3,3,3,0.5,0.611111,0,0
612,7AA6E52A,,1,1,2,1,1,2,1,1,1,1,0.002777
613,0E25E5EE,,0,14,14,0,14,14,6,0.335681,0.414918,0,0
614,7DEE62E4,,0,1,1,0,1,1,1,1,1,0,0
615,7D5CB345,,2,10,12,2,10,12,6,0.363636,0.467448,1122.064377,0.114355
616,7F9FE1C6,,0,4,4,0,4,4,3,0.5625,0.685185,0,0
617,086C59A4,,0,1,1,0,1,1,1,1,1,0,0
618,5E96D355,,0,2,2,0,2,2,2,0.75,0.833333,0,0
619,80A9EC52,,0,2,2,0,2,2,6,0.278351,0.337037,0,0
620,75D118E4,,1,0,1,1,0,1,0,0,0,0,0.002777
621,7FA86514,,0,1,1,0,1,1,4,0.423077,0.477273,0,0
622,788AD094,,2,2,4,2,2,4,8,0.213415,0.277007,70,0.005554
623,7FF5AFE6,,2,7,9,2,7,9,7,0.262023,0.309885,45.416667,0.005554
624,79505BEF,,0,2,2,0,2,2,2,0.625,0.7,0,0
625,7EE37971,,4,1,5,4,1,5,2,0.545455,0.583333,29,0.016101
626,0584194A,,1,0,1,1,0,1,0,0,0,0,0.005829
627,7D2A24DC,,0,1,1,0,1,1,4,0.376623,0.408046,0,0
628,7D4A17C0,,0,1,1,0,1,1,2,0.6,0.666667,0,0
629,7D9DF1E6,,0,2,2,0,2,2,1,1,1,0,0
630,069DE568,,0,1,1,0,1,1,1,1,1,0,0
631,75436151,,0,1,1,0,1,1,2,0.666667,0.75,0,0
632,7F7F75FF,,1,0,1,1,0,1,0,0,0,0,0.002777
633,06D71796,,1,1,2,1,1,2,4,0.342857,0.395833,35.5,0.025856
634,7EF84F0A,,2,0,2,2,0,2,0,0,0,0,0.008051
635,7E43FFA6,,0,2,2,0,2,2,6,0.295455,0.350427,0,0
636,757F77C0,,1,1,2,1,1,2,6,0.253968,0.30625,12,0.006522
637,0344F499,,5,4,9,5,4,9,2,0.7,0.785714,18,0.01763
638,7D0075B3,,2,0,2,2,0,2,0,0,0,0,0.006802
639,6049E046,,46,7,53,46,7,53,3,0.647059,0.787879,2187.709524,0.278147
640,790090B0,,1,0,1,1,0,1,0,0,0,0,0.002777
641,7A077500,,1,3,4,1,3,4,2,0.8,0.875,4,0.002777
642,752926D9,,2,0,2,2,0,2,0,0,0,0,0.009854
643,7A2DCFC9,,0,3,3,0,3,3,3,0.625,0.766667,0,0
644,7D75F896,,0,2,2,0,2,2,4,0.433333,0.512821,0,0
645,7F759EB6,,1,2,3,1,2,3,2,0.75,0.833333,6,0.004025
646,75277D5F,,0,1,1,0,1,1,1,1,1,0,0
647,7F481AC7,,1,5,6,1,5,6,4,0.487179,0.583333,19,0.002777
648,77163A28,,5,6,11,5,6,11,2,0.714286,0.8,82.666667,0.019519
649,02DC39A4,,1,0,1,1,0,1,0,0,0,0,0.005274
650,7674D764,,6,3,9,6,3,9,2,0.8,0.875,55.666667,0.030267
651,7FD68FFA,,1,0,1,1,0,1,0,0,0,0,0.002777
652,6897C4D5,,5,2,7,5,2,7,3,0.5,0.633333,170.333333,0.175997
653,80E7C2E7,,0,15,15,0,15,15,6,0.32,0.380682,0,0
654,5C9B0BCD,,2,0,2,2,0,2,0,0,0,0,0.047144
655,01982927,,0,6,6,0,6,6,5,0.45,0.547531,0,0
656,00D01773,,0,1,1,0,1,1,7,0.219298,0.259429,0,0
657,7E507BC1,,1,1,2,1,1,2,1,1,1,1,0.002777
658,7FF2F748,,0,1,1,0,1,1,1,1,1,0,0
659,5C4215D4,,2,0,2,2,0,2,0,0,0,0,0.008051
660,5E40259A,,7,0,7,7,0,7,0,0,0,0,0.027888
661,5CDCA705,,1,0,1,1,0,1,0,0,0,0,0.004025
662,7F037546,,2,4,6,2,4,6,4,0.451613,0.571429,26.833333,0.006802
663,80542891,,0,1,1,0,1,1,1,1,1,0,0
664,7DCCF26B,,0,1,1,0,1,1,1,1,1,0,0
665,7DAACEE4,,0,1,1,0,1,1,1,1,1,0,0
666,77F1B2B6,,12,0,12,12,0,12,0,0,0,0,0.065664
667,7E3FC18A,,1,2,3,1,2,3,1,1,1,2,0.002777
668,7EB74CF6,,3,5,8,3,5,8,3,0.5,0.598039,16.666667,0.009579
669,7ECFB25E,,0,1,1,0,1,1,3,0.466667,0.52381,0,0
670,7CF91387,,3,0,3,3,0,3,0,0,0,0,0.008331
671,8100F5BE,,0,1,1,0,1,1,1,1,1,0,0
672,7C439B6E,,1,1,2,1,1,2,2,0.666667,0.75,0,0.002777
673,803B565A,,0,3,3,0,3,3,8,0.222749,0.294276,0,0
674,77F87401,,2,1,3,2,1,3,1,1,1,5,0.007357
675,801470FF,,0,1,1,0,1,1,1,1,1,0,0
676,7CA39FD4,,2,2,4,2,2,4,6,0.295455,0.40641,24.553114,0.009242
677,7F4F5E90,,0,1,1,0,1,1,2,0.6,0.666667,0,0
678,6E1536E8,,11,0,11,11,0,11,0,0,0,0,0.041088
679,5E58D4C1,,1,0,1,1,0,1,0,0,0,0,0.002777
680,7A585662,,2,1,3,2,1,3,6,0.268966,0.303846,20,0.005554
681,7EB8E3A2,,0,2,2,0,2,2,4,0.421053,0.489583,0,0
682,7F91F88C,,0,2,2,0,2,2,4,0.421053,0.53125,0,0
683,76B2FE22,,0,1,1,0,1,1,1,1,1,0,0
684,7F8E24D5,,0,2,2,0,2,2,7,0.217742,0.253263,0,0
685,81395C8C,,0,2,2,0,2,2,4,0.433333,0.512821,0,0
686,5B1448C1,,17,1,18,17,1,18,1,1,1,224.019048,0.4213
687,7FF9B70B,,13,9,22,13,9,22,2,0.736842,0.821429,1061.902381,0.088349
688,765C219D,,5,2,7,5,2,7,4,0.428571,0.537037,38.916667,0.04382
689,72B3B084,,2,0,2,2,0,2,0,0,0,0,0.009299
690,80ECB207,,1,0,1,1,0,1,0,0,0,0,0.111578
691,6EA92515,,1,0,1,1,0,1,0,0,0,0,0.002777
692,7AAD6555,,1,2,3,1,2,3,1,1,1,0,0.002777
693,7921D0E6,,0,3,3,0,3,3,7,0.219251,0.246245,0,0
694,5AC8D00C,,1,0,1,1,0,1,0,0,0,0,0.004025
695,808D4072,,0,1,1,0,1,1,1,1,1,0,0
696,76DE6852,,1,2,3,1,2,3,2,0.666667,0.75,4,0.002777
697,5870F6DE,,0,3,3,0,3,3,9,0.206667,0.277259,0,0
698,80828634,,0,1,1,0,1,1,1,1,1,0,0
699,81547887,,0,1,1,0,1,1,1,1,1,0,0
700,5E6A50AD,,2,1,3,2,1,3,3,0.428571,0.5,2,0.037508
701,80D17453,,1,2,3,1,2,3,3,0.5,0.633333,5,0.002777
702,8067D0FB,,1,1,2,1,1,2,2,0.666667,0.75,6,0.005274
703,5CFD100E,,1,1,2,1,1,2,3,0.5,0.566667,0,0.002777
704,7552E012,,0,2,2,0,2,2,1,1,1,0,0
